epoch,discriminator_loss,generator_loss
1,0.7056782245635986,0.6708583
2,0.7045003771781921,0.67347264
3,0.7007230520248413,0.6769605
4,0.6985813975334167,0.67659533
5,0.6980230212211609,0.6738142
6,0.6970887184143066,0.6733498
7,0.697799801826477,0.67406994
8,0.6983363628387451,0.6738764
9,0.6982185244560242,0.6745622
10,0.6989395618438721,0.674822
11,0.6985520124435425,0.6754099
12,0.6984802484512329,0.6759308
13,0.6987372636795044,0.6759157
14,0.69868403673172,0.675618
15,0.6986075639724731,0.6755949
16,0.6985642910003662,0.67573225
17,0.6984598636627197,0.67585284
18,0.6984424591064453,0.67575026
19,0.6984524726867676,0.6759785
20,0.6981969475746155,0.67567086
21,0.6985457539558411,0.6754657
22,0.6983427405357361,0.6755493
23,0.6983726024627686,0.675583
24,0.6981548070907593,0.6753652
25,0.6985315084457397,0.67573184
26,0.6984738111495972,0.67605156
27,0.6982232332229614,0.676212
28,0.6982060670852661,0.6763124
29,0.6984431743621826,0.67653507
30,0.698602020740509,0.676418
31,0.6985070705413818,0.6765483
32,0.6984519958496094,0.6764719
33,0.6982080936431885,0.6764804
34,0.697903037071228,0.6765004
35,0.6976864337921143,0.6765557
36,0.6976990103721619,0.6764887
37,0.6977783441543579,0.676443
38,0.6978583335876465,0.6765645
39,0.6979591846466064,0.6766263
40,0.6976884007453918,0.676793
41,0.6974235773086548,0.67668194
42,0.697170078754425,0.6768408
43,0.6972223520278931,0.6767015
44,0.6973424553871155,0.67668295
45,0.6974105834960938,0.6767878
46,0.6976308822631836,0.6769772
47,0.697731077671051,0.6772142
48,0.6979008316993713,0.6773476
49,0.6979511976242065,0.677359
50,0.6979590654373169,0.67739314
51,0.6978808641433716,0.6773054
52,0.6977654695510864,0.6772411
53,0.6976928114891052,0.67723024
54,0.6976907253265381,0.6772639
55,0.6977189183235168,0.67750806
56,0.6978005170822144,0.67757636
57,0.6977415084838867,0.6776144
58,0.6976547837257385,0.67745566
59,0.6977413892745972,0.6773969
60,0.6977385878562927,0.6774988
61,0.6976919174194336,0.67772675
62,0.6978469491004944,0.67775637
63,0.6977846622467041,0.6777462
64,0.6978030800819397,0.67763454
65,0.6979458928108215,0.67762935
66,0.6980054378509521,0.6776382
67,0.6980596780776978,0.6776306
68,0.6979115009307861,0.67766416
69,0.6978018283843994,0.6777026
70,0.6977869272232056,0.67768633
71,0.6977943181991577,0.6776331
72,0.6977238655090332,0.6775261
73,0.6977387070655823,0.6776118
74,0.6978353261947632,0.67750466
75,0.6977938413619995,0.67747915
76,0.6977773308753967,0.67744493
77,0.6977449655532837,0.6773619
78,0.6977552175521851,0.67733926
79,0.6977334022521973,0.6773368
80,0.6977616548538208,0.67734903
81,0.6977624893188477,0.6773487
82,0.6977882385253906,0.6773378
83,0.6979134678840637,0.67751086
84,0.6978885531425476,0.67749107
85,0.6979179382324219,0.6774615
86,0.6979672312736511,0.67758197
87,0.6980023384094238,0.6775437
88,0.6979994773864746,0.677535
89,0.6980960369110107,0.6774316
90,0.6981035470962524,0.677441
91,0.6980624794960022,0.67748225
92,0.6980209946632385,0.6775209
93,0.698032557964325,0.6775143
94,0.698137640953064,0.67746
95,0.6981111168861389,0.6774819
96,0.6980797052383423,0.6774187
97,0.6981068253517151,0.6773739
98,0.6981180906295776,0.67737347
99,0.6981156468391418,0.6773246
100,0.698094367980957,0.67735314
101,0.6980968117713928,0.677347
102,0.6980631947517395,0.67729187
103,0.6980323791503906,0.6773055
104,0.6980785131454468,0.67729634
105,0.6981134414672852,0.67726046
106,0.6981296539306641,0.67731726
107,0.6981140375137329,0.6773042
108,0.6981813907623291,0.6772204
109,0.6981830596923828,0.6770432
110,0.6981955766677856,0.67692864
111,0.6982560753822327,0.6768148
112,0.6982803344726562,0.67675817
113,0.6983678340911865,0.67663217
114,0.6984368562698364,0.6764851
115,0.6984379291534424,0.67641914
116,0.6985355615615845,0.6762702
117,0.6986457109451294,0.6760502
118,0.6987360715866089,0.67595655
119,0.698817253112793,0.67569387
120,0.6989776492118835,0.6754491
121,0.6991379261016846,0.67514074
122,0.6993471384048462,0.6749301
123,0.6995439529418945,0.6747458
124,0.6996836066246033,0.67457795
125,0.6998995542526245,0.6743624
126,0.7001557946205139,0.67398536
127,0.7003873586654663,0.6736583
128,0.7005780935287476,0.6732142
129,0.7007411122322083,0.6727858
130,0.7009059190750122,0.6725752
131,0.7010058164596558,0.6722664
132,0.701224684715271,0.67192173
133,0.7014460563659668,0.6715417
134,0.7016673684120178,0.67120343
135,0.7018724679946899,0.6708741
136,0.7020496129989624,0.6705733
137,0.7021681070327759,0.67023337
138,0.7022606134414673,0.6698842
139,0.7024838328361511,0.6695518
140,0.7027291059494019,0.669219
141,0.7029396295547485,0.6689128
142,0.703137218952179,0.66859037
143,0.7033528089523315,0.66823304
144,0.7035828828811646,0.66796935
145,0.70380699634552,0.6675691
146,0.7040003538131714,0.6671217
147,0.7041969299316406,0.6667941
148,0.7043849229812622,0.6664401
149,0.7045540809631348,0.66604996
150,0.7047945261001587,0.66567105
151,0.7049505710601807,0.6652927
152,0.7051429748535156,0.6649414
153,0.7053529024124146,0.6646387
154,0.7055673599243164,0.66433436
155,0.7057068943977356,0.663923
156,0.7058488130569458,0.66361874
157,0.7060694098472595,0.6632942
158,0.7062492370605469,0.6629875
159,0.7064157724380493,0.6626997
160,0.7066004872322083,0.6623794
161,0.7068864107131958,0.6619636
162,0.7070999145507812,0.6615674
163,0.707328200340271,0.66115636
164,0.7075750827789307,0.66085106
165,0.707849383354187,0.660383
166,0.7081265449523926,0.6600585
167,0.7083716988563538,0.6596032
168,0.708617091178894,0.65924144
169,0.708831250667572,0.6587872
170,0.7090733051300049,0.65829843
171,0.7093203067779541,0.65789324
172,0.7095805406570435,0.6574939
173,0.7098566889762878,0.65710604
174,0.7101699113845825,0.6566851
175,0.7104665040969849,0.6561502
176,0.710728645324707,0.65568507
177,0.7109850645065308,0.655266
178,0.7112269401550293,0.6548756
179,0.7115089893341064,0.6544409
180,0.7118157148361206,0.6539797
181,0.7120867967605591,0.6535514
182,0.712367057800293,0.65309477
183,0.7126643657684326,0.6526106
184,0.7129310965538025,0.65210575
185,0.7131893038749695,0.6515817
186,0.7134683132171631,0.65109694
187,0.7137423157691956,0.6505273
188,0.7140687704086304,0.64991915
189,0.7144206762313843,0.6493777
190,0.7147625684738159,0.6488507
191,0.7151157855987549,0.6482474
192,0.7155379056930542,0.64765173
193,0.7159141302108765,0.64705414
194,0.716276228427887,0.6464255
195,0.7166580557823181,0.64587194
