epoch,discriminator_loss,generator_loss
1,0.7018897533416748,0.71738756
2,0.694260835647583,0.7079309
3,0.700060248374939,0.707555
4,0.6988626718521118,0.7129159
5,0.701431393623352,0.71455777
6,0.6997150182723999,0.7154932
7,0.6996114253997803,0.71391284
8,0.699202835559845,0.71339554
9,0.698354959487915,0.71089536
10,0.6981377601623535,0.70847815
11,0.6975632309913635,0.70829225
12,0.6967591047286987,0.7080501
13,0.6957393884658813,0.7073791
14,0.6958979964256287,0.7077592
15,0.6964406967163086,0.7066366
16,0.6964267492294312,0.7067091
17,0.6969475746154785,0.70693034
18,0.6965237855911255,0.70742595
19,0.6966515183448792,0.70673954
20,0.6969852447509766,0.7060262
21,0.6967203617095947,0.70483303
22,0.6967449188232422,0.7041557
23,0.6965259909629822,0.7037973
24,0.696429967880249,0.703183
25,0.6965848207473755,0.70327455
26,0.6970092058181763,0.7030397
27,0.6971476078033447,0.7032062
28,0.6973740458488464,0.70288074
29,0.6971498727798462,0.703294
30,0.6972562670707703,0.7030916
31,0.6968894004821777,0.7027316
32,0.6969959735870361,0.7020088
33,0.6968861818313599,0.7016986
34,0.6966698169708252,0.7015248
35,0.6967597603797913,0.70117396
36,0.696793258190155,0.70084697
37,0.6967000961303711,0.70049
38,0.6968022584915161,0.7002848
39,0.6969685554504395,0.7003742
40,0.6971854567527771,0.69976485
41,0.6972552537918091,0.6992456
42,0.6972241401672363,0.6983768
43,0.6972091197967529,0.6978052
44,0.6974666118621826,0.69784003
45,0.6973271369934082,0.69795007
46,0.6970876455307007,0.69748205
47,0.6968966722488403,0.6974637
48,0.6969449520111084,0.69678926
49,0.6969094276428223,0.69651663
50,0.6969665288925171,0.6961714
51,0.6969640254974365,0.69583577
52,0.697197437286377,0.6957387
53,0.6971431970596313,0.69549346
54,0.6970463991165161,0.69507736
55,0.6969444751739502,0.6950115
56,0.6969351768493652,0.69466823
57,0.6970212459564209,0.69432086
58,0.6970129013061523,0.69395
59,0.6970318555831909,0.69369674
60,0.6970692873001099,0.6933685
61,0.6972813606262207,0.6930428
62,0.697343647480011,0.6928556
63,0.6973530650138855,0.692308
64,0.697457492351532,0.69213915
65,0.6975337266921997,0.6922593
66,0.697478175163269,0.69179887
67,0.6973707675933838,0.69153756
68,0.6973697543144226,0.69120514
